'contribnum'	1. Contribution number in PMEL database. See file “ContribNum_DMSdb_all.docx”
'par_sw8d1'	55. PAR [mol photons m-2 d-1] matchups SeaWiFS 8 days 1x1 pixel box
'chl_ma8d1'	56. Idem chl with MODIS-Aqua
'cdom_ma8d1'	57. Idem cdom with MODIS-Aqua
'kd490_ma8d1'	58. Idem kd490 with MODIS-Aqua
'poc_ma8d1'	59. Idem poc with MODIS-Aqua
'par_ma8d1'	60. Idem par with MODIS-Aqua
'chl_sw8d3'	61. Chlorophyll [mg m-3] matchups SeaWiFS 8 days 3x3 pixel box
'cdom_sw8d3'	62. CDOm index matchups SeaWiFS 8 days 3x3 pixel box
'kd490_sw8d3'	63. Kd490 [m-1] matchups SeaWiFS 8 days 3x3 pixel box
'poc_sw8d3'	64. POC [mg C m-3] matchups SeaWiFS 8 days 3x3 pixel box
'par_sw8d3'	65. PAR [mol photons m-2 d-1] matchups SeaWiFS 8 days 3x3 pixel box
'chl_ma8d3'	66. Idem with MODIS-Aqua
'cdom_ma8d3'	67. Idem with MODIS-Aqua
'kd490_ma8d3'	68. Idem with MODIS-Aqua
'poc_ma8d3'	69. Idem with MODIS-Aqua
'par_ma8d3'	70. Idem with MODIS-Aqua
'chl_sw8d5'	71. Chlorophyll [mg m-3] matchups SeaWiFS 8 days 5x5 pixel box
'cdom_sw8d5'	72. CDOm index matchups SeaWiFS 8 days 5x5 pixel box
'kd490_sw8d5'	73. Kd490 [m-1] matchups SeaWiFS 8 days 5x5 pixel box
'poc_sw8d5'	74. POC [mg C m-3] matchups SeaWiFS 8 days 5x5 pixel box
'par_sw8d5'	75. PAR [mol photons m-2 d-1] matchups SeaWiFS 8 days 5x5 pixel box
'chl_ma8d5'	76. Idem with MODIS-Aqua
'cdom_ma8d5'	77. Idem with MODIS-Aqua
'kd490_ma8d5'	78. Idem with MODIS-Aqua
'poc_ma8d5'	79. Idem with MODIS-Aqua
'par_ma8d5'	80. Idem with MODIS-Aqua
'pic_sw8d1'	81. PIC [mol m-3] matchups SeaWiFS 8 days 1x1 pixel box
'pic_ma8d1'	82. PIC [mol m-3] matchups SeaWiFS 8 days 3x3 pixel box
'pic_sw8d3'	83. PIC [mol m-3] matchups SeaWiFS 8 days 5x5 pixel box
'pic_ma8d3'	84. Idem with MODIS-Aqua
'pic_sw8d5'	85. Idem with MODIS-Aqua
'pic_ma8d5'	86. Idem with MODIS-Aqua
'chl_swday1'	87. Chlorophyll [mg m-3] matchups SeaWiFS 1 day 1x1 pixel box
'chl_maday1'	88. Idem with MODIS-Aqua
'chl_swday3'	89. Chlorophyll [mg m-3] matchups SeaWiFS 1 day 3x3 pixel box
'chl_maday3'	90. Idem with MODIS-Aqua
'chl_swday5'	91. Chlorophyll [mg m-3] matchups SeaWiFS 1 day 5x5 pixel box
'chl_maday5'	92. Idem with MODIS-Aqua
'sstshiftdaym4'	93. SST AVHRR matchup (4 km resolution, daily data) shifted by -4 days [C]
'sstshiftdaym3'	94. SST AVHRR matchup (4 km resolution, daily data) shifted by -3 days [C]
'sstshiftdaym2'	95. SST AVHRR matchup (4 km resolution, daily data) shifted by -2 days [C]
'sstshiftdaym1'	96. SST AVHRR matchup (4 km resolution, daily data) shifted by -1 days [C]
'sstshiftday0'	97. SST AVHRR matchup (4 km resolution, daily data) on sampling date (shifted by 0 days) [C]
'sstshiftdayp1'	98. SST AVHRR matchup (4 km resolution, daily data) shifted by +1 day [C]
'sstshiftdayp2'	99. SST AVHRR matchup (4 km resolution, daily data) shifted by +2 days [C]
'sstshiftdayp3'	100. SST AVHRR matchup (4 km resolution, daily data) shifted by +3 days [C]
'sstshiftdayp4'	101. SST AVHRR matchup (4 km resolution, daily data) shifted by +4 days [C]
'sstval' 	102. SST AVHRR matchup consensus of all previous [C]
'daylength'	103. [hours], as used in Galí et al. 2018 BG (standard astronomical function)
